1234,BMW,2016,435i,Coupe,Tires,2/24/2022,5/4/2022,6/10/2023
4321,Land Rover,2020,Range Rover,SUV,Starter,10/3/2020,9/21/2022,11/24/2022
1234,Audi,2018,A5,Coupe,Battery,7/12/2021,9/1/2021,6/30/2022
5678,Toyota,2019,Camry,Sedan,Brakes,2/1/2022,4/15/2022,12/31/2022
9876,Ford,2017,Explorer,SUV,Transmission,9/15/2020,10/30/2020,3/31/2023
5432,Chevrolet,2022,Camaro,Coupe,Alternator,5/5/2022,7/1/2022,5/31/2023
8765,Mercedes-Benz,2021,C-Class,Sedan,Oil Filter,3/28/2022,4/30/2022,3/1/2023
3456,Honda,2015,CR-V,SUV,Spark Plugs,1/1/2022,2/15/2022,12/15/2022
7890,Buick,2019,Regal,Sedan,Water Pump,6/10/2022,8/1/2022,6/1/2023
2345,Jeep,2016,Cherokee,SUV,Drive Belt,11/23/2021,1/20/2022,9/30/2022
6543,Hyundai,2018,Santa Fe,SUV,Air Filter,4/1/2022,6/1/2022,4/30/2023
8901,Nissan,2020,Altima,Sedan,Brake Pads,8/8/2021,10/1/2021,8/31/2022
8765,Volvo,2022,S60,Sedan,AC Compressor,9/10/2022,11/1/2022,8/31/2023
4321,BMW,2019,X3,SUV,Shock Absorbers,3/15/2022,4/30/2022,3/1/2023
9012,Lexus,2017,IS,Sedan,Fuel Pump,10/20/2021,12/1/2021,10/31/2022
5678,Subaru,2018,Outback,SUV,Engine Oil,11/1/2021,1/1/2022,10/31/2022
3456,Kia,2016,Sorento,SUV,Radiator,2/28/2022,4/30/2022,2/1/2023
7890,Genesis,2021,G80,Sedan,Brake Rotors,6/1/2022,7/15/2022,5/31/2023
2345,Mazda,2019,CX-5,SUV,Windshield Wipers,5/5/2022,6/30/2022,5/1/2023
6543,Toyota,2020,Corolla,Sedan,Power Steering Pump,8/15/2022,9/30/2022,8/1/2023